symbol,company,timestamp,open,high,low,current_price,previous_close,change,change_pct,volume,day_high,day_low,market_status,is_demo,data_source,Symbol,Company,Timestamp,Open,High,Low,Current Price,Previous Close,Change,Change %,Volume,Day High,Day Low,Market Status
NTPC,NTPC Ltd.,2026-09-24T16:34:28.487946+05:30,332.68,336.66,330.52,335.49,333.4,2.09,0.63,4424754,336.66,330.52,DEMO (CLOSED),True,DEMO DATA,NTPC,NTPC Ltd.,2026-09-24T16:34:28.487946+05:30,332.68,336.66,330.52,335.49,333.4,2.09,0.63,4424754,336.66,330.52,DEMO (CLOSED)
ONGC,Oil & Natural Gas Corporation Ltd.,2026-09-24T16:34:28.487946+05:30,231.73,232.63,230.92,232.17,232.5,-0.33,-0.14,33443567,232.63,230.92,DEMO (CLOSED),True,DEMO DATA,ONGC,Oil & Natural Gas Corporation Ltd.,2026-09-24T16:34:28.487946+05:30,231.73,232.63,230.92,232.17,232.5,-0.33,-0.14,33443567,232.63,230.92,DEMO (CLOSED)
POWERGRID,Power Grid Corporation of India Ltd.,2026-09-24T16:34:28.487946+05:30,270.33,270.72,265.8,266.16,269.1,-2.94,-1.09,10947196,270.72,265.8,DEMO (CLOSED),True,DEMO DATA,POWERGRID,Power Grid Corporation of India Ltd.,2026-09-24T16:34:28.487946+05:30,270.33,270.72,265.8,266.16,269.1,-2.94,-1.09,10947196,270.72,265.8,DEMO (CLOSED)
RELIANCE,Reliance Industries Ltd.,2026-09-24T16:34:28.487946+05:30,1252.92,1268.94,1249.37,1261.08,1257.5,3.58,0.28,9980501,1268.94,1249.37,DEMO (CLOSED),True,DEMO DATA,RELIANCE,Reliance Industries Ltd.,2026-09-24T16:34:28.487946+05:30,1252.92,1268.94,1249.37,1261.08,1257.5,3.58,0.28,9980501,1268.94,1249.37,DEMO (CLOSED)
SBILIFE,SBI Life Insurance Co. Ltd.,2026-09-24T16:34:28.487946+05:30,1690.76,1703.03,1674.17,1681.23,1684.7,-3.47,-0.21,378483,1703.03,1674.17,DEMO (CLOSED),True,DEMO DATA,SBILIFE,SBI Life Insurance Co. Ltd.,2026-09-24T16:34:28.487946+05:30,1690.76,1703.03,1674.17,1681.23,1684.7,-3.47,-0.21,378483,1703.03,1674.17,DEMO (CLOSED)
SBIN,State Bank of India,2026-09-24T16:34:28.487946+05:30,997.05,1004.31,979.72,983.2,995.7,-12.5,-1.26,6694017,1004.31,979.72,DEMO (CLOSED),True,DEMO DATA,SBIN,State Bank of India,2026-09-24T16:34:28.487946+05:30,997.05,1004.31,979.72,983.2,995.7,-12.5,-1.26,6694017,1004.31,979.72,DEMO (CLOSED)
SHRIRAMFIN,Shriram Finance Ltd.,2026-09-24T16:34:28.487946+05:30,1032.19,1034.13,1029.65,1031.41,1028.6,2.81,0.27,3740312,1034.13,1029.65,DEMO (CLOSED),True,DEMO DATA,SHRIRAMFIN,Shriram Finance Ltd.,2026-09-24T16:34:28.487946+05:30,1032.19,1034.13,1029.65,1031.41,1028.6,2.81,0.27,3740312,1034.13,1029.65,DEMO (CLOSED)
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,2026-09-24T16:34:28.487946+05:30,1833.93,1877.84,1825.1,1863.46,1840.0,23.46,1.28,1715438,1877.84,1825.1,DEMO (CLOSED),True,DEMO DATA,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,2026-09-24T16:34:28.487946+05:30,1833.93,1877.84,1825.1,1863.46,1840.0,23.46,1.28,1715438,1877.84,1825.1,DEMO (CLOSED)
TATACONSUM,Tata Consumer Products Ltd.,2026-09-24T16:34:28.487946+05:30,992.81,1012.78,990.63,1010.47,991.0,19.47,1.96,963451,1012.78,990.63,DEMO (CLOSED),True,DEMO DATA,TATACONSUM,Tata Consumer Products Ltd.,2026-09-24T16:34:28.487946+05:30,992.81,1012.78,990.63,1010.47,991.0,19.47,1.96,963451,1012.78,990.63,DEMO (CLOSED)
TATAMOTORS,Tata Motors Ltd.,2026-09-24T16:34:28.487946+05:30,300.56,303.32,299.86,301.64,301.1,0.54,0.18,6764871,303.32,299.86,DEMO (CLOSED),True,DEMO DATA,TATAMOTORS,Tata Motors Ltd.,2026-09-24T16:34:28.487946+05:30,300.56,303.32,299.86,301.64,301.1,0.54,0.18,6764871,303.32,299.86,DEMO (CLOSED)
TCS,Tata Consultancy Services Ltd.,2026-09-24T16:34:28.487946+05:30,2206.18,2221.73,2165.44,2179.72,2200.8,-21.08,-0.96,2558262,2221.73,2165.44,DEMO (CLOSED),True,DEMO DATA,TCS,Tata Consultancy Services Ltd.,2026-09-24T16:34:28.487946+05:30,2206.18,2221.73,2165.44,2179.72,2200.8,-21.08,-0.96,2558262,2221.73,2165.44,DEMO (CLOSED)
TECHM,Tech Mahindra Ltd.,2026-09-24T16:34:28.487946+05:30,1548.71,1551.44,1527.33,1535.17,1541.0,-5.83,-0.38,1880926,1551.44,1527.33,DEMO (CLOSED),True,DEMO DATA,TECHM,Tech Mahindra Ltd.,2026-09-24T16:34:28.487946+05:30,1548.71,1551.44,1527.33,1535.17,1541.0,-5.83,-0.38,1880926,1551.44,1527.33,DEMO (CLOSED)
TITAN,Titan Company Ltd.,2026-09-24T16:34:28.487946+05:30,5003.69,5093.99,4988.15,5060.97,5009.5,51.47,1.03,395003,5093.99,4988.15,DEMO (CLOSED),True,DEMO DATA,TITAN,Titan Company Ltd.,2026-09-24T16:34:28.487946+05:30,5003.69,5093.99,4988.15,5060.97,5009.5,51.47,1.03,395003,5093.99,4988.15,DEMO (CLOSED)
TRENT,Trent Ltd.,2026-09-24T16:34:28.487946+05:30,2815.1,2833.11,2785.58,2789.13,2802.4,-13.27,-0.47,577837,2833.11,2785.58,DEMO (CLOSED),True,DEMO DATA,TRENT,Trent Ltd.,2026-09-24T16:34:28.487946+05:30,2815.1,2833.11,2785.58,2789.13,2802.4,-13.27,-0.47,577837,2833.11,2785.58,DEMO (CLOSED)
ULTRACEMCO,UltraTech Cement Ltd.,2026-09-24T16:34:28.487946+05:30,10959.18,11202.41,10901.52,11124.64,11000.0,124.64,1.13,213659,11202.41,10901.52,DEMO (CLOSED),True,DEMO DATA,ULTRACEMCO,UltraTech Cement Ltd.,2026-09-24T16:34:28.487946+05:30,10959.18,11202.41,10901.52,11124.64,11000.0,124.64,1.13,213659,11202.41,10901.52,DEMO (CLOSED)
WIPRO,Wipro Ltd.,2026-09-24T16:34:28.487946+05:30,166.88,170.16,165.61,169.68,167.4,2.28,1.36,8078470,170.16,165.61,DEMO (CLOSED),True,DEMO DATA,WIPRO,Wipro Ltd.,2026-09-24T16:34:28.487946+05:30,166.88,170.16,165.61,169.68,167.4,2.28,1.36,8078470,170.16,165.61,DEMO (CLOSED)
ZOMATO,Eternal Ltd. (Zomato),2026-09-24T16:34:28.487946+05:30,321.96,327.02,320.49,325.74,323.5,2.24,0.69,19967633,327.02,320.49,DEMO (CLOSED),True,DEMO DATA,ZOMATO,Eternal Ltd. (Zomato),2026-09-24T16:34:28.487946+05:30,321.96,327.02,320.49,325.74,323.5,2.24,0.69,19967633,327.02,320.49,DEMO (CLOSED)
