Symbol,Company,Timestamp,Current Price,Change,Change %,Open,High,Low,Previous Close,Volume,Day High,Day Low,Market Status,is_demo,data_source
HDFCLIFE,HDFC Life Insurance Co. Ltd.,2026-09-24T16:34:28.487946+05:30,529.74,-0.26,-0.05,531.56,534.27,525.78,530.0,4055768,534.27,525.78,DEMO (CLOSED),True,DEMO DATA
HINDALCO,Hindalco Industries Ltd.,2026-09-24T16:34:28.487946+05:30,975.48,-6.02,-0.61,977.43,982.5,970.84,981.5,5627184,982.5,970.84,DEMO (CLOSED),True,DEMO DATA
HINDUNILVR,Hindustan Unilever Ltd.,2026-09-24T16:34:28.487946+05:30,1926.12,-0.88,-0.05,1918.39,1939.15,1907.87,1927.0,953321,1939.15,1907.87,DEMO (CLOSED),True,DEMO DATA
ICICIBANK,ICICI Bank Ltd.,2026-09-24T16:34:28.487946+05:30,1396.44,17.14,1.24,1376.88,1402.54,1372.51,1379.3,7417977,1402.54,1372.51,DEMO (CLOSED),True,DEMO DATA
INDIGO,InterGlobe Aviation Ltd.,2026-09-24T16:34:28.487946+05:30,4875.93,-97.07,-1.95,4997.55,5005.49,4837.3,4973.0,992414,5005.49,4837.3,DEMO (CLOSED),True,DEMO DATA
INFY,Infosys Ltd.,2026-09-24T16:34:28.487946+05:30,1014.88,-22.82,-2.2,1034.31,1038.98,1007.41,1037.7,5918123,1038.98,1007.41,DEMO (CLOSED),True,DEMO DATA
ITC,ITC Ltd.,2026-09-24T16:34:28.487946+05:30,254.56,-5.29,-2.04,261.06,261.93,254.19,259.85,10359226,261.93,254.19,DEMO (CLOSED),True,DEMO DATA
JIOFIN,Jio Financial Services Ltd.,2026-09-24T16:34:28.487946+05:30,225.3,-4.6,-2.0,228.63,229.98,224.81,229.9,22021902,229.98,224.81,DEMO (CLOSED),True,DEMO DATA
JSWSTEEL,JSW Steel Ltd.,2026-09-24T16:34:28.487946+05:30,1239.35,-25.65,-2.03,1262.66,1272.52,1233.04,1265.0,1396739,1272.52,1233.04,DEMO (CLOSED),True,DEMO DATA
KOTAKBANK,Kotak Mahindra Bank Ltd.,2026-09-24T16:34:28.487946+05:30,413.27,-5.73,-1.37,418.49,420.66,410.7,419.0,16282455,420.66,410.7,DEMO (CLOSED),True,DEMO DATA
LT,Larsen & Toubro Ltd.,2026-09-24T16:34:28.487946+05:30,3902.93,-27.77,-0.71,3924.96,3937.11,3882.81,3930.7,1333882,3937.11,3882.81,DEMO (CLOSED),True,DEMO DATA
M&M,Mahindra & Mahindra Ltd.,2026-09-24T16:34:28.487946+05:30,3143.85,36.85,1.19,3108.02,3156.14,3089.65,3107.0,1219096,3156.14,3089.65,DEMO (CLOSED),True,DEMO DATA
MARUTI,Maruti Suzuki India Ltd.,2026-09-24T16:34:28.487946+05:30,12254.0,-146.0,-1.18,12349.11,12417.72,12201.82,12400.0,515885,12417.72,12201.82,DEMO (CLOSED),True,DEMO DATA
MAXHEALTH,Max Healthcare Institute Ltd.,2026-09-24T16:34:28.487946+05:30,1042.12,4.42,0.43,1043.29,1049.35,1035.95,1037.7,2863703,1049.35,1035.95,DEMO (CLOSED),True,DEMO DATA
NESTLEIND,Nestle India Ltd.,2026-09-24T16:34:28.487946+05:30,1369.84,-13.46,-0.97,1377.09,1385.27,1365.81,1383.3,1107328,1385.27,1365.81,DEMO (CLOSED),True,DEMO DATA
NTPC,NTPC Ltd.,2026-09-24T16:34:28.487946+05:30,335.49,2.09,0.63,332.68,336.66,330.52,333.4,4424754,336.66,330.52,DEMO (CLOSED),True,DEMO DATA
ONGC,Oil & Natural Gas Corporation Ltd.,2026-09-24T16:34:28.487946+05:30,232.17,-0.33,-0.14,231.73,232.63,230.92,232.5,33443567,232.63,230.92,DEMO (CLOSED),True,DEMO DATA
POWERGRID,Power Grid Corporation of India Ltd.,2026-09-24T16:34:28.487946+05:30,266.16,-2.94,-1.09,270.33,270.72,265.8,269.1,10947196,270.72,265.8,DEMO (CLOSED),True,DEMO DATA
RELIANCE,Reliance Industries Ltd.,2026-09-24T16:34:28.487946+05:30,1261.08,3.58,0.28,1252.92,1268.94,1249.37,1257.5,9980501,1268.94,1249.37,DEMO (CLOSED),True,DEMO DATA
SBILIFE,SBI Life Insurance Co. Ltd.,2026-09-24T16:34:28.487946+05:30,1681.23,-3.47,-0.21,1690.76,1703.03,1674.17,1684.7,378483,1703.03,1674.17,DEMO (CLOSED),True,DEMO DATA
SBIN,State Bank of India,2026-09-24T16:34:28.487946+05:30,983.2,-12.5,-1.26,997.05,1004.31,979.72,995.7,6694017,1004.31,979.72,DEMO (CLOSED),True,DEMO DATA
SHRIRAMFIN,Shriram Finance Ltd.,2026-09-24T16:34:28.487946+05:30,1031.41,2.81,0.27,1032.19,1034.13,1029.65,1028.6,3740312,1034.13,1029.65,DEMO (CLOSED),True,DEMO DATA
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,2026-09-24T16:34:28.487946+05:30,1863.46,23.46,1.28,1833.93,1877.84,1825.1,1840.0,1715438,1877.84,1825.1,DEMO (CLOSED),True,DEMO DATA
TATACONSUM,Tata Consumer Products Ltd.,2026-09-24T16:34:28.487946+05:30,1010.47,19.47,1.96,992.81,1012.78,990.63,991.0,963451,1012.78,990.63,DEMO (CLOSED),True,DEMO DATA
TATAMOTORS,Tata Motors Ltd.,2026-09-24T16:34:28.487946+05:30,301.64,0.54,0.18,300.56,303.32,299.86,301.1,6764871,303.32,299.86,DEMO (CLOSED),True,DEMO DATA
TCS,Tata Consultancy Services Ltd.,2026-09-24T16:34:28.487946+05:30,2179.72,-21.08,-0.96,2206.18,2221.73,2165.44,2200.8,2558262,2221.73,2165.44,DEMO (CLOSED),True,DEMO DATA
TECHM,Tech Mahindra Ltd.,2026-09-24T16:34:28.487946+05:30,1535.17,-5.83,-0.38,1548.71,1551.44,1527.33,1541.0,1880926,1551.44,1527.33,DEMO (CLOSED),True,DEMO DATA
TITAN,Titan Company Ltd.,2026-09-24T16:34:28.487946+05:30,5060.97,51.47,1.03,5003.69,5093.99,4988.15,5009.5,395003,5093.99,4988.15,DEMO (CLOSED),True,DEMO DATA
TRENT,Trent Ltd.,2026-09-24T16:34:28.487946+05:30,2789.13,-13.27,-0.47,2815.1,2833.11,2785.58,2802.4,577837,2833.11,2785.58,DEMO (CLOSED),True,DEMO DATA
ULTRACEMCO,UltraTech Cement Ltd.,2026-09-24T16:34:28.487946+05:30,11124.64,124.64,1.13,10959.18,11202.41,10901.52,11000.0,213659,11202.41,10901.52,DEMO (CLOSED),True,DEMO DATA
WIPRO,Wipro Ltd.,2026-09-24T16:34:28.487946+05:30,169.68,2.28,1.36,166.88,170.16,165.61,167.4,8078470,170.16,165.61,DEMO (CLOSED),True,DEMO DATA
ZOMATO,Eternal Ltd. (Zomato),2026-09-24T16:34:28.487946+05:30,325.74,2.24,0.69,321.96,327.02,320.49,323.5,19967633,327.02,320.49,DEMO (CLOSED),True,DEMO DATA
